iter	Accuracy	MultiClass
337	0.9761904762	-0.1633982837
338	0.9761904762	-0.163199793
339	0.9761904762	-0.1626361595
340	0.9758890898	-0.1620759703
341	0.9755877034	-0.1616761753
342	0.9755877034	-0.1614489292
343	0.9758890898	-0.1612939286
344	0.9764918626	-0.1607062284
345	0.9764918626	-0.1604956793
346	0.9770946353	-0.1598688521
347	0.9776974081	-0.1594522684
348	0.9776974081	-0.1592036978
349	0.9776974081	-0.1590260717
350	0.9776974081	-0.1586404695
351	0.9779987945	-0.1581951319
352	0.9776974081	-0.1579265016
353	0.9776974081	-0.1577712405
354	0.9779987945	-0.1574154712
355	0.9779987945	-0.157132423
356	0.9783001808	-0.1568963547
357	0.9789029536	-0.1565518853
358	0.9795057263	-0.1563025209
359	0.9807112719	-0.1552489334
360	0.9804098855	-0.1550451944
361	0.9807112719	-0.154732706
362	0.9810126582	-0.1543040362
363	0.981615431	-0.1540112803
364	0.981615431	-0.1538141504
365	0.9819168174	-0.1532422087
366	0.9822182037	-0.1529497603
367	0.9828209765	-0.152561205
368	0.9828209765	-0.1522300237
369	0.9825195901	-0.1519416267
370	0.9828209765	-0.1511726319
371	0.9828209765	-0.1508984687
372	0.9834237492	-0.1505115427
373	0.9834237492	-0.1501737535
374	0.9834237492	-0.1498976559
375	0.9837251356	-0.1487568304
376	0.9837251356	-0.1485646991
377	0.984026522	-0.1476952488
378	0.9834237492	-0.1474768085
379	0.9834237492	-0.1472831653
380	0.9837251356	-0.1468371824
381	0.9837251356	-0.146667757
382	0.9843279084	-0.1461823733
383	0.9843279084	-0.1460133747
384	0.9843279084	-0.1457889825
385	0.984026522	-0.1454326971
386	0.984026522	-0.1450141393
387	0.9837251356	-0.1446929875
388	0.9843279084	-0.1444268184
389	0.9837251356	-0.1440430364
390	0.9846292948	-0.1435667591
391	0.9852320675	-0.143128884
392	0.9858348403	-0.1425075841
393	0.9858348403	-0.1423857686
394	0.9858348403	-0.1420977779
395	0.9855334539	-0.1415966474
396	0.9858348403	-0.1414655067
397	0.986437613	-0.1410659724
398	0.9867389994	-0.1408297386
399	0.9867389994	-0.1402779685
400	0.9867389994	-0.1399886851
401	0.9861362266	-0.1397662208
402	0.9858348403	-0.1393968389
403	0.9858348403	-0.1391639955
404	0.9861362266	-0.1385826763
405	0.9861362266	-0.1383872002
406	0.9858348403	-0.1381588293
407	0.9870403858	-0.1372968746
408	0.9861362266	-0.1367191015
409	0.986437613	-0.1365574426
410	0.986437613	-0.1361788826
411	0.9861362266	-0.1357950005
412	0.986437613	-0.1350565202
413	0.9861362266	-0.1348153772
414	0.986437613	-0.1346086247
415	0.9867389994	-0.1343297648
416	0.9873417722	-0.1342465439
417	0.9873417722	-0.1339881454
418	0.9876431585	-0.1334272049
419	0.9882459313	-0.1331347597
420	0.988848704	-0.1328596089
421	0.988848704	-0.1326813121
422	0.9891500904	-0.1324654889
423	0.9894514768	-0.1322414215
424	0.9894514768	-0.1321026147
425	0.9894514768	-0.1316629999
426	0.9891500904	-0.1313326734
427	0.9894514768	-0.1308612908
428	0.9894514768	-0.1307398986
429	0.9894514768	-0.130597641
430	0.9891500904	-0.1303603411
431	0.9891500904	-0.1302129451
432	0.9897528632	-0.1299487878
433	0.9894514768	-0.1296722698
434	0.9891500904	-0.1294543319
435	0.9894514768	-0.1293464848
436	0.9894514768	-0.1292125046
437	0.9903556359	-0.1286803257
438	0.9903556359	-0.1285288411
439	0.9900542495	-0.1281954296
440	0.9909584087	-0.127911795
441	0.9909584087	-0.1275569041
442	0.9912597951	-0.1270407108
443	0.9909584087	-0.1264264024
444	0.9912597951	-0.1260620564
445	0.9912597951	-0.1255846774
446	0.9921639542	-0.1253266993
447	0.9924653406	-0.1251894591
448	0.9921639542	-0.1247480311
449	0.9933694997	-0.1240904836
450	0.9933694997	-0.1238830165
451	0.9933694997	-0.1232989576
452	0.9936708861	-0.1229144592
453	0.9933694997	-0.122733443
454	0.9933694997	-0.1224653734
455	0.9936708861	-0.1223327088
456	0.9933694997	-0.1222098693
457	0.9933694997	-0.122032829
458	0.9933694997	-0.1218230032
459	0.9936708861	-0.1214321462
460	0.9930681133	-0.1210786624
461	0.9927667269	-0.1207502888
462	0.9927667269	-0.1206590162
463	0.9930681133	-0.1204034585
464	0.9936708861	-0.1199756373
465	0.9936708861	-0.1196473309
466	0.9936708861	-0.1195883843
467	0.9936708861	-0.1195759389
468	0.9939722725	-0.1193165132
469	0.9939722725	-0.1188585625
470	0.9939722725	-0.1187495094
471	0.9939722725	-0.1185337895
472	0.9939722725	-0.1182863665
473	0.9939722725	-0.1181447431
474	0.9942736588	-0.1179254634
475	0.9945750452	-0.1175677491
476	0.9948764316	-0.1173636587
477	0.9954792043	-0.1172700788
478	0.995177818	-0.1168634493
479	0.995177818	-0.1167689192
480	0.9954792043	-0.1162787237
481	0.995177818	-0.1159224907
482	0.9954792043	-0.1157792501
483	0.995177818	-0.1152949146
484	0.9948764316	-0.1151255822
485	0.995177818	-0.1144691188
486	0.9954792043	-0.1142995997
487	0.9954792043	-0.1139105712
488	0.9954792043	-0.1138271959
489	0.9954792043	-0.1135628586
490	0.9954792043	-0.1134043418
491	0.9954792043	-0.1130197683
492	0.995177818	-0.1125108417
493	0.9954792043	-0.112219619
494	0.9954792043	-0.1119446678
495	0.9954792043	-0.1117390345
496	0.9954792043	-0.1114379053
497	0.9954792043	-0.1111912548
498	0.9960819771	-0.1107436483
499	0.9957805907	-0.1105966738
500	0.9957805907	-0.1104157728
501	0.9957805907	-0.1101127608
502	0.9957805907	-0.1100338164
503	0.9957805907	-0.1098109186
504	0.9957805907	-0.1095678922
505	0.9957805907	-0.1095235769
506	0.9957805907	-0.109217471
507	0.9957805907	-0.1092094121
508	0.9957805907	-0.1090980585
509	0.9957805907	-0.1088815376
510	0.9957805907	-0.108651794
511	0.9957805907	-0.1085247562
512	0.9957805907	-0.1084202794
513	0.9957805907	-0.1083479794
514	0.9960819771	-0.1080642674
515	0.9957805907	-0.107840444
516	0.9957805907	-0.1076901559
517	0.9957805907	-0.1074834944
518	0.9960819771	-0.1072681838
519	0.9960819771	-0.1071485529
520	0.9963833635	-0.1069748399
521	0.9963833635	-0.1067917691
522	0.9963833635	-0.106640181
523	0.9960819771	-0.106198919
524	0.9963833635	-0.1060477842
525	0.9963833635	-0.1054688747
526	0.9963833635	-0.1053555755
527	0.9963833635	-0.1052309473
528	0.9963833635	-0.1050958972
529	0.9963833635	-0.1047046167
530	0.9969861362	-0.1043745621
531	0.9969861362	-0.1040761313
532	0.9969861362	-0.1038670351
533	0.9969861362	-0.1036840384
534	0.9969861362	-0.1034609584
535	0.9969861362	-0.1032687698
536	0.9969861362	-0.1031278978
537	0.9969861362	-0.1030727208
538	0.9969861362	-0.1028554514
539	0.9966847498	-0.1027956258
540	0.9969861362	-0.1027151867
541	0.9966847498	-0.1023276479
542	0.9966847498	-0.1022175379
543	0.9966847498	-0.1017840482
544	0.9969861362	-0.1015176882
545	0.9969861362	-0.1013605639
546	0.9972875226	-0.1012003394
547	0.9972875226	-0.1011310894
548	0.9969861362	-0.1007632303
549	0.9969861362	-0.1004730214
550	0.9972875226	-0.1001092491
551	0.9972875226	-0.09971025772
552	0.9972875226	-0.09950080422
553	0.9972875226	-0.09923148954
554	0.9972875226	-0.09905909711
555	0.9972875226	-0.09897491693
556	0.9972875226	-0.09873167065
557	0.9972875226	-0.09851036687
558	0.9972875226	-0.09837694195
559	0.9972875226	-0.09801294177
560	0.9972875226	-0.09787716026
561	0.9972875226	-0.09762865869
562	0.9969861362	-0.0974440532
563	0.9969861362	-0.09720175332
564	0.9969861362	-0.09706980076
565	0.9972875226	-0.09691785468
566	0.9972875226	-0.09666002768
567	0.9972875226	-0.09614409174
568	0.9972875226	-0.09600257921
569	0.9972875226	-0.09580235296
570	0.9972875226	-0.0956075252
571	0.9972875226	-0.09555208889
572	0.9972875226	-0.09543855275
573	0.9972875226	-0.09489079553
574	0.9972875226	-0.0947490243
575	0.9972875226	-0.09463784558
576	0.9972875226	-0.0944573295
577	0.9972875226	-0.09424689541
578	0.9972875226	-0.09413494362
579	0.9972875226	-0.09354617628
580	0.9972875226	-0.09332899929
581	0.9972875226	-0.09318936441
582	0.9972875226	-0.09307767582
583	0.9972875226	-0.09284022709
584	0.9972875226	-0.09277687273
585	0.9972875226	-0.09264260438
586	0.9972875226	-0.09249631387
587	0.997588909	-0.09230012205
588	0.9972875226	-0.09217251616
589	0.9972875226	-0.09210255007
590	0.9972875226	-0.09195603267
591	0.9972875226	-0.09176760065
592	0.9972875226	-0.09163191843
593	0.997588909	-0.09148655916
594	0.9972875226	-0.09129538905
595	0.9972875226	-0.09082597397
596	0.997588909	-0.09060041289
597	0.997588909	-0.09049830245
598	0.9978902954	-0.0900335803
599	0.9978902954	-0.08981369212
600	0.9978902954	-0.08971814586
601	0.9981916817	-0.08946176039
602	0.9981916817	-0.08935167402
603	0.9984930681	-0.08925986926
604	0.9981916817	-0.08916811085
605	0.9981916817	-0.08883142422
606	0.9981916817	-0.08861450932
607	0.9981916817	-0.08823504091
608	0.9981916817	-0.08809496281
609	0.9981916817	-0.08797251426
610	0.9981916817	-0.08781008447
611	0.9984930681	-0.08765115556
612	0.9984930681	-0.08756727125
613	0.9984930681	-0.08742522168
614	0.9981916817	-0.08730692128
